Code;Commutator code ;Electric Diagram ;Name;Volume (market);Brand;Cluster Description;Eprel Clusters;Controller;Function Type;Type;Buffle ;Insulation Code ;Insulation Desc.;Type of Lamps ;Lamp Code ;Lamp Power ;Upper Resistance ;Upper Heater Power;Upper Heater Surface Load ;Lower Resistance;Lower Heater Power;Lower Heater  Surface Load ;Cavity Resistance Code;Cavity Heater Power;Cavity Heater Surface Load ;Cooling Fan;Cooling Fan Power ;Cavity Fan;Cavity Fan Power ;Turnspit;Number of glass;Cavity Type ;Ventilation Channel ;ECO Program ;Chimney
33703428;42814656;41011130;FIDC X100;41505;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703460;70004134;42828557;;719;Candy;HALINO CATA;CMFS4X/1/E;No timer (2 knobs);Static;MR07;No Buffle;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42836665;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703475;42814656;41011130;FIDC N100;21176;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703478;42814656;41011130;FIDC B100;7820;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703485;70004134;42828557;FIDC X200/S;3355;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703488;70004134;70023603;FIDC X200;2358;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703489;70004134;70023603;FIDC N200;2572;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703513;70004134;70023603;FMCIDC X200;35044;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70018790;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703551;42814656;41011130;FCID X100;1179;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703583;70004134;42828557;FIDCP X200;;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703614;42814656;41011130;FIDC N100/1;;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703650;70004134;42828557;FIDC N201;;Candy;HALINO CATA;FIDC N201;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;;;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
